M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
3,23,5,3,1,0,LOTTE,HOME,INCHEON
3,24,7,6,1,0,LOTTE,HOME,INCHEON
3,26,0,6,0,0,HANHWA,HOME,INCHEON
3,27,1,3,0,0,HANHWA,HOME,INCHEON
3,28,6,10,0,0,HANHWA,HOME,INCHEON
3,29,6,4,1,0,SAMSUNG,AWAY,DAEGU
3,30,9,6,1,0,SAMSUNG,AWAY,DAEGU
3,31,4,3,1,0,SAMSUNG,AWAY,DAEGU
4,2,13,6,1,0,DOOSAN,HOME,INCHEON
4,3,5,3,1,0,DOOSAN,HOME,INCHEON
4,4,2,5,0,0,DOOSAN,HOME,INCHEON
4,5,0,5,0,0,NC,AWAY,CHANGWON
4,6,3,16,0,0,NC,AWAY,CHANGWON
4,7,1,10,0,0,NC,AWAY,CHANGWON
4,9,8,5,1,0,KIWOOM,HOME,INCHEON
4,10,8,4,1,0,KIWOOM,HOME,INCHEON
4,11,2,5,0,0,KIWOOM,HOME,INCHEON
4,12,8,3,1,0,KT,AWAY,SUWON
4,13,11,8,1,0,KT,AWAY,SUWON
4,14,8,1,1,0,KT,AWAY,SUWON
4,16,6,4,1,0,KIA,AWAY,KWANGJU
4,17,3,11,0,0,KIA,AWAY,KWANGJU
4,18,5,7,0,0,KIA,AWAY,KWANGJU
4,19,1,4,0,0,LG,HOME,INCHEON
4,21,8,10,0,0,LG,HOME,INCHEON
4,21,5,5,0,1,LG,HOME,INCHEON
4,24,12,7,1,0,LOTTE,AWAY,BUSAN
4,25,3,6,0,0,LOTTE,AWAY,BUSAN
4,26,5,2,1,0,KT,HOME,INCHEON
4,27,2,5,0,0,KT,HOME,INCHEON
4,28,11,6,1,0,KT,HOME,INCHEON
4,30,2,8,0,0,HANHWA,AWAY,TAEJEON
5,1,8,7,1,0,HANHWA,AWAY,TAEJEON
5,2,4,3,1,0,HANHWA,AWAY,TAEJEON
5,3,5,19,0,0,NC,HOME,INCHEON
5,4,6,8,0,0,NC,HOME,INCHEON
5,7,4,2,1,0,LG,AWAY,JAMSIL
5,8,5,8,0,0,LG,AWAY,JAMSIL
5,9,1,3,0,0,LG,AWAY,JAMSIL
5,10,4,2,1,0,KIA,AWAY,KWANGJU
5,12,2,3,0,0,KIA,AWAY,KWANGJU
5,12,10,6,1,0,KIA,AWAY,KWANGJU
5,14,9,2,1,0,SAMSUNG,HOME,INCHEON
5,16,4,12,0,0,SAMSUNG,HOME,INCHEON
5,17,5,4,1,0,KIWOOM,AWAY,GOCHEOK
5,18,3,0,1,0,KIWOOM,AWAY,GOCHEOK
5,19,3,10,0,0,KIWOOM,AWAY,GOCHEOK
5,21,6,8,0,0,DOOSAN,AWAY,JAMSIL
5,22,1,3,0,0,DOOSAN,AWAY,JAMSIL
5,23,3,10,0,0,DOOSAN,AWAY,JAMSIL
5,24,5,7,0,0,HANHWA,HOME,INCHEON
5,25,2,4,0,0,HANHWA,HOME,INCHEON
5,28,5,7,0,0,LG,HOME,INCHEON
5,29,4,13,0,0,LG,HOME,INCHEON
5,30,8,2,1,0,LG,HOME,INCHEON
5,31,4,2,1,0,KIWOOM,AWAY,GOCHEOK
6,1,9,0,1,0,KIWOOM,AWAY,GOCHEOK
6,2,6,2,1,0,KIWOOM,AWAY,GOCHEOK
6,4,1,3,0,0,SAMSUNG,HOME,INCHEON
6,5,7,3,1,0,SAMSUNG,HOME,INCHEON
6,6,4,0,1,0,SAMSUNG,HOME,INCHEON
6,7,7,11,0,0,LOTTE,AWAY,BUSAN
6,9,5,1,1,0,LOTTE,AWAY,BUSAN
6,9,3,5,0,0,LOTTE,AWAY,BUSAN
6,11,7,6,1,0,KIA,HOME,INCHEON
6,12,7,13,0,0,KIA,HOME,INCHEON
6,13,7,1,1,0,KIA,HOME,INCHEON
6,14,11,4,1,0,HANHWA,AWAY,TAEJEON
6,15,9,1,1,0,HANHWA,AWAY,TAEJEON
6,16,1,4,0,0,HANHWA,AWAY,TAEJEON
6,18,8,3,1,0,SAMSUNG,AWAY,DAEGU
6,19,2,13,0,0,SAMSUNG,AWAY,DAEGU
6,20,0,4,0,0,SAMSUNG,AWAY,DAEGU
6,21,2,3,0,0,NC,HOME,INCHEON
6,22,12,4,1,0,NC,HOME,INCHEON
6,23,6,18,0,0,NC,HOME,INCHEON
6,25,1,6,0,0,KT,HOME,INCHEON
6,26,10,5,1,0,KT,HOME,INCHEON
6,27,8,16,0,0,KT,HOME,INCHEON
6,28,0,10,0,0,DOOSAN,AWAY,JAMSIL
6,29,6,0,1,0,DOOSAN,AWAY,JAMSIL
6,30,3,1,1,0,DOOSAN,AWAY,JAMSIL
7,3,1,4,0,0,NC,AWAY,CHANGWON
7,4,0,2,0,0,NC,AWAY,CHANGWON
7,9,7,4,1,0,LOTTE,HOME,INCHEON
7,10,1,6,0,0,LOTTE,HOME,INCHEON
7,11,5,4,1,0,LOTTE,HOME,INCHEON
7,12,14,6,1,0,KIA,AWAY,KWANGJU
7,13,15,9,1,0,KIA,AWAY,KWANGJU
7,14,4,13,0,0,KIA,AWAY,KWANGJU
7,17,9,12,0,0,LG,AWAY,JAMSIL
7,19,9,3,1,0,KIWOOM,HOME,INCHEON
7,21,2,7,0,0,KIWOOM,HOME,INCHEON
7,24,3,5,0,0,KT,AWAY,SUWON
7,25,2,4,0,0,KT,AWAY,SUWON
7,26,6,1,1,0,DOOSAN,HOME,INCHEON
7,27,4,3,1,0,DOOSAN,HOME,INCHEON
7,28,3,0,1,0,DOOSAN,HOME,INCHEON
7,30,11,5,1,0,LOTTE,HOME,INCHEON
7,31,12,11,1,0,LOTTE,HOME,INCHEON
8,1,2,4,0,0,LOTTE,HOME,INCHEON
8,2,3,4,0,0,SAMSUNG,AWAY,DAEGU
8,3,4,12,0,0,SAMSUNG,AWAY,DAEGU
8,4,3,8,0,0,SAMSUNG,AWAY,DAEGU
8,6,6,2,1,0,KIWOOM,AWAY,GOCHEOK
8,7,6,2,1,0,KIWOOM,AWAY,GOCHEOK
8,8,0,3,0,0,KIWOOM,AWAY,GOCHEOK
8,9,11,13,0,0,DOOSAN,HOME,INCHEON
8,10,6,10,0,0,DOOSAN,HOME,INCHEON
8,11,9,11,0,0,DOOSAN,HOME,INCHEON
8,13,2,0,1,0,NC,AWAY,CHANGWON
8,15,10,5,1,0,NC,AWAY,CHANGWON
8,16,1,2,0,0,HANHWA,HOME,INCHEON
8,17,5,8,0,0,HANHWA,HOME,INCHEON
8,18,1,7,0,0,HANHWA,HOME,INCHEON
8,20,3,4,0,0,LG,AWAY,JAMSIL
8,21,5,1,1,0,LG,AWAY,JAMSIL
8,22,3,13,0,0,LG,AWAY,JAMSIL
8,23,6,11,0,0,KT,HOME,INCHEON
8,24,3,9,0,0,KT,HOME,INCHEON
8,25,4,3,1,0,KT,HOME,INCHEON
8,27,4,10,0,0,KIA,AWAY,KWANGJU
8,28,6,7,0,0,KIA,AWAY,KWANGJU
8,29,10,4,1,0,KIA,AWAY,KWANGJU
8,31,2,7,0,0,NC,HOME,INCHEON
9,1,2,8,0,0,NC,HOME,INCHEON
9,4,0,5,0,0,LG,AWAY,JAMSIL
9,5,4,2,1,0,LG,AWAY,JAMSIL
9,7,1,1,0,1,LOTTE,AWAY,BUSAN
9,8,11,6,1,0,LOTTE,AWAY,BUSAN
9,10,5,0,1,0,HANHWA,HOME,INCHEON
9,11,2,10,0,0,LOTTE,HOME,INCHEON
9,14,11,9,1,0,SAMSUNG,HOME,INCHEON
9,15,14,9,1,0,SAMSUNG,HOME,INCHEON
9,17,2,0,1,0,KIA,HOME,INCHEON
9,19,8,6,1,0,KIWOOM,HOME,INCHEON
9,21,4,1,1,0,KT,AWAY,SUWON
9,22,6,2,1,0,KT,AWAY,SUWON
9,23,4,8,0,0,DOOSAN,AWAY,JAMSIL
9,24,5,14,0,0,LG,HOME,INCHEON
9,25,8,2,1,0,NC,AWAY,CHANGWON
9,26,19,1,1,0,NC,AWAY,CHANGWON
9,28,6,2,1,0,HANHWA,AWAY,TAEJEON
9,39,7,2,1,0,KIWOOM,HOME,INCHEON