년,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4
설화명곡,375616,427086,421642,433503,405633,461331,436475,442188,426859,463936,451005,457563,396714,225709,329811,337931,290333,367031,342718,360314,329671,377857,382761,397540,378762,425962,404757,414423
화원,307843,335905,324298,338001,338882,388803,367200,379864,365057,395497,375842,385787,337962,191432,288097,299779,257182,320785,290842,318015,285543,324586,327170,341727,329953,372337,340617,357120
대곡,633724,685042,649721,675419,638540,702420,648322,680171,643141,693906,657361,680332,587933,323306,483532,500489,430861,521511,478550,521125,435641,406235,410173,434117,408392,440727,411357,431269
진천,651361,673809,632426,646508,624412,677367,636460,661704,651188,692892,658312,671199,595593,335043,484726,497061,438723,530845,488247,526799,531072,661001,674967,711360,693513,746469,683724,713041
월배,408198,429053,404618,411651,387349,442997,411532,429831,411490,453450,430066,446966,393260,211923,317167,328684,295662,357243,329590,347224,328481,358727,360115,371155,361758,398775,370610,375236
상인,1224430,1262320,1181782,1193604,1156373,1257141,1156708,1190181,1175174,1253412,1183507,1192342,1060953,552200,851885,865663,761000,918250,850861,888599,833684,924800,928545,955852,945303,1033089,958180,980499
월촌,463317,508011,473461,484696,445919,517229,468914,489391,454848,507610,472264,479300,414614,232302,353943,363010,308647,390582,354230,366476,326945,372615,369275,378833,357469,396771,365782,368630
송현,367831,384384,361234,366633,371370,400400,367354,371263,364930,388756,372195,377205,347250,204331,288276,292211,264011,312273,292758,300975,281096,305271,307307,310241,303710,326005,306158,304641
서부정류장,960091,1013239,941059,956212,900397,989789,908611,950984,917934,982358,928091,937410,809071,435949,637500,671417,588242,702532,638957,690855,627163,689693,697742,736953,695688,754465,687272,709142
대명,418189,435915,440390,409516,424349,455658,452762,445476,467052,480200,477762,468092,434188,142722,207889,213660,196790,235773,227116,233708,219635,239985,246816,270312,278082,305356,286549,288958
안지랑,431553,465629,428519,429368,407812,461138,422798,439601,431318,478228,446500,453502,399937,226411,329288,345438,303800,372737,338206,351389,324136,359460,351308,368875,355729,389424,346770,373864
현충로,349756,381446,352736,360010,347252,383380,348253,363216,352874,396131,375217,386288,338419,186157,262071,271876,243357,297567,267021,287001,263980,294629,289089,300114,284445,315508,284029,291793
영대병원,533807,649807,547442,584238,511195,649238,544263,595667,531885,669836,574634,627942,504395,266792,389537,421702,347790,455812,370128,406270,351376,438700,392156,441724,391830,490570,419708,489612
교대,377446,433052,389102,399048,370688,432615,384497,397804,349422,417462,377325,399534,330623,177138,274991,282793,240386,311740,284024,339896,296821,316550,324639,352329,319475,377591,341263,358144
명덕1,367439,409754,369461,374284,338300,396021,365126,382395,345221,400392,373808,388173,323163,173954,273689,277048,227027,282246,258306,268582,239518,277402,267326,274330,252872,291888,264428,309535
반월당1,786433,790498,781856,754623,790143,839688,838367,821202,884273,895559,886831,854354,782554,395488,610238,582351,547246,622169,594577,614471,607303,649612,697035,683212,718134,760062,745238,729437
중앙로,1998780,1870465,1832563,1727541,1869396,1850110,1776828,1723071,1880689,1798904,1783543,1676068,1595194,643663,1045600,1034402,947918,1089185,1030097,1073094,1091685,1121447,1250137,1209722,1333717,1289046,1269810,1237603
대구역,897079,918061,843000,870941,842343,906857,830038,874235,857413,922100,861584,861929,752975,405720,589620,610314,533678,639136,578190,616713,570228,638351,647617,664448,643398,699812,633421,669422
칠성시장,476516,512018,483523,493304,453850,495369,462461,495398,462246,496381,472652,508752,431077,266356,366459,382171,330854,385547,352010,380077,342542,373287,373964,394733,365704,405755,364162,385789
신천,440865,479912,432056,443744,405020,476819,439520,468422,448932,516295,471675,495668,430477,237569,359094,366662,325174,400685,366258,389210,352023,406239,405186,427756,406264,466064,417631,438544
동대구역,1952246,1714016,1612807,1602821,1657212,1690282,1630930,1678239,1722475,1726061,1712096,1721329,1535796,654190,1112035,1116723,973429,1220917,1129750,1263190,1217100,1308889,1432128,1471138,1513671,1549121,1492493,1531068
동구청,374205,407741,375396,382555,347413,398965,362912,382722,352823,400533,363277,375530,314162,182266,256525,263123,223901,270656,244130,260156,236235,269462,267424,281084,265889,305254,282165,290546
아양교,523127,577603,518199,534906,480550,560765,499005,532949,498579,573416,515742,537722,452929,254504,376406,393642,331074,422657,382804,415510,366911,424821,414384,444279,413895,473042,418029,434458
동촌,185966,209963,187877,203835,184285,229282,201202,219365,209242,244491,219740,234171,207301,121565,165630,172986,149472,187667,167777,186615,168106,201863,185179,203233,183454,217574,188492,196358
해안,263361,291679,265562,280629,252061,278951,254402,272014,256220,289903,266488,281236,245330,134199,194219,204539,171366,208324,193370,205317,183707,207615,210989,220363,205599,225531,208924,216990
방촌,304141,319921,295960,304888,286674,320589,299117,313606,300191,327193,312673,320040,287613,163148,227835,233484,206030,249141,239049,267014,246106,275051,285969,293261,286949,311146,290402,301528
용계,207716,216769,198566,203420,192585,217235,195624,207670,196449,213025,200827,207306,180867,103513,155354,160306,135204,167635,153305,164891,148035,167944,170808,175504,166919,188363,175627,182926
율하,451521,455915,434444,432462,419643,443221,426569,431594,421227,456335,439510,442471,398698,228857,327768,332903,296992,351940,331087,346198,320511,360607,374223,381903,362662,398664,369673,374689
신기,387767,414527,394130,400277,369756,414313,390710,408473,381495,426898,405009,417628,359340,211429,302728,316058,273534,320636,306074,327201,293511,330537,341668,354995,329216,369809,339770,353104
반야월,227215,247962,224354,234526,219201,252465,229667,247489,236477,263494,236664,250377,215010,123901,180012,189395,162372,203238,193147,204367,186059,213453,209979,224699,215311,237649,217425,227902
각산,397249,407697,393954,393879,372072,404356,382405,397630,387771,424270,408124,414574,368191,196983,304599,313173,265685,328397,309144,331552,307129,346081,350545,359216,354264,375588,355296,359827
안심,538526,710538,542126,663114,526720,755046,568755,724512,561790,769850,591898,746179,523696,269888,422870,484389,363784,528750,438496,524162,437600,600147,513902,631458,500371,664057,523940,634268