M	D	W	L	WIN	DRAW	VS_TEAM	HOME_AWAY	PLAY_GROUND
3	23	4	3	1	0	DOOSAN	H	CHANGWON
3	24	3	6	0	0	DOOSAN	H	CHANGWON
3	26	10	5	1	0	KIWOOM	H	CHANGWON
3	27	6	2	1	0	KIWOOM	H	CHANGWON
3	29	1	3	0	0	LOTTE	A	BUSAN
3	30	8	0	1	0	LOTTE	A	BUSAN
3	31	8	7	1	0	LOTTE	A	BUSAN
4	2	7	5	1	0	LG	A	JAMSIL
4	3	0	5	0	0	LG	A	JAMSIL
4	4	7	8	0	0	LG	A	JAMSIL
4	5	5	0	1	0	SSG	H	CHANGWON
4	6	16	3	1	0	SSG	H	CHANGWON
4	7	10	1	1	0	SSG	H	CHANGWON
4	9	1	6	0	0	KT	H	CHANGWON
4	10	3	2	1	0	KT	H	CHANGWON
4	11	8	7	1	0	KT	H	CHANGWON
4	12	8	3	1	0	SAMSUNG	A	DAEGU
4	13	4	3	1	0	SAMSUNG	A	DAEGU
4	14	12	5	1	0	SAMSUNG	A	DAEGU
4	16	4	7	0	0	HANHWA	H	CHANGWON
4	17	4	3	1	0	HANHWA	H	CHANGWON
4	19	3	4	0	0	KIA	A	KWANGJU
4	20	2	9	0	0	KIA	A	KWANGJU
4	21	15	4	1	0	KIA	A	KWANGJU
4	23	4	3	1	0	DOOSAN	A	JAMSIL
4	24	3	1	1	0	DOOSAN	A	JAMSIL
4	25	7	3	1	0	DOOSAN	A	JAMSIL
4	26	4	0	1	0	LOTTE	H	CHANGWON
4	27	2	0	1	0	LOTTE	H	CHANGWON
4	28	5	3	1	0	LOTTE	H	CHANGWON
4	30	8	0	1	0	LG	H	CHANGWON
5	1	1	10	0	0	LG	H	CHANGWON
5	2	4	5	0	0	LG	H	CHANGWON
5	3	19	5	1	0	SSG	A	INCHEON
5	4	8	6	1	0	SSG	A	INCHEON
5	8	6	7	0	0	KT	A	SUWON
5	9	2	6	0	0	KT	A	SUWON
5	10	10	3	1	0	SAMSUNG	H	CHANGWON
5	11	2	3	0	0	SAMSUNG	H	CHANGWON
5	12	2	7	0	0	SAMSUNG	H	CHANGWON
5	14	5	5	0	1	HANHWA	H	CHANGWON
5	15	16	1	1	0	HANHWA	H	CHANGWON
5	16	4	3	1	0	HANHWA	H	CHANGWON
5	17	4	7	0	0	KIA	A	KWANGJU
5	18	2	7	0	0	KIA	A	KWANGJU
5	19	2	1	1	0	KIA	A	KWANGJU
5	21	5	3	1	0	KIWOOM	H	GOCHEOK
5	22	4	3	1	0	KIWOOM	H	GOCHEOK
5	23	4	6	0	0	KIWOOM	H	GOCHEOK
5	24	4	11	0	0	LG	H	JAMSIL
5	25	6	10	0	0	LG	H	JAMSIL
5	26	3	6	0	0	LG	H	JAMSIL
5	28	8	11	0	0	KIA	H	CHANGWON
5	29	3	6	0	0	KIA	H	CHANGWON
5	30	2	11	0	0	KIA	H	CHANGWON
5	31	5	13	0	0	LOTTE	A	BUSAN
6	1	4	2	1	0	LOTTE	A	BUSAN
6	2	4	13	0	0	LOTTE	A	BUSAN
6	4	1	4	0	0	DOOSAN	H	CHANGWON
6	5	3	4	0	0	DOOSAN	H	CHANGWON
6	6	3	8	0	0	DOOSAN	H	CHANGWON
6	7	6	2	1	0	HANHWA	A	TAEJEON
6	8	4	2	1	0	HANHWA	A	TAEJEON
6	9	3	3	0	1	HANHWA	A	TAEJEON
6	11	8	6	1	0	KT	H	CHANGWON
6	12	8	11	0	0	KT	H	CHANGWON
6	13	5	3	1	0	KT	H	CHANGWON
6	14	4	7	0	0	SAMSUNG	H	CHANGWON
6	15	6	4	1	0	SAMSUNG	H	CHANGWON
6	16	5	4	1	0	SAMSUNG	H	CHANGWON
6	18	2	6	0	0	DOOSAN	A	JAMSIL
6	19	5	7	0	0	DOOSAN	A	JAMSIL
6	20	0	2	0	0	DOOSAN	A	JAMSIL
6	21	3	2	1	0	SSG	A	INCHEON
6	22	4	12	0	0	SSG	A	INCHEON
6	23	18	6	1	0	SSG	A	INCHEON
6	25	5	6	0	0	KIWOOM	A	GOCHEOK
6	26	7	10	0	0	KIWOOM	A	GOCHEOK
6	27	7	9	0	0	KIWOOM	A	GOCHEOK
6	28	8	2	1	0	LG	H	CHANGWON
6	30	6	9	0	0	LG	H	CHANGWON
7	3	4	4	0	1	SSG	H	CHANGWON
7	4	2	0	1	0	SSG	H	CHANGWON
7	10	6	15	0	0	SAMSUNG	A	DAEGU
7	11	4	6	0	0	SAMSUNG	A	DAEGU
7	12	9	2	1	0	KIWOOM	H	CHANGWON
7	13	11	5	1	0	KIWOOM	H	CHANGWON
7	17	5	1	1	0	HANHWA	H	CHANGWON
7	18	4	3	1	0	HANHWA	H	CHANGWON
7	19	0	6	0	0	KT	A	SUWON
7	21	8	2	1	0	KT	A	SUWON
7	23	1	8	0	0	KIA	A	KWANGJU
7	24	0	7	0	0	KIA	A	KWANGJU
7	25	7	4	1	0	KIA	A	KWANGJU
7	26	9	2	1	0	LOTTE	H	CHANGWON
7	27	2	9	0	0	LOTTE	H	CHANGWON
7	28	6	10	0	0	LOTTE	H	CHANGWON
7	30	6	2	1	0	KIWOOM	A	GOCHEOK
7	31	9	0	1	0	KIWOOM	A	GOCHEOK
8	1	9	14	0	0	KIWOOM	A	GOCHEOK
8	2	7	9	0	0	KT	H	CHANGWON
8	4	15	5	1	0	KT	H	CHANGWON
8	6	5	6	0	0	LOTTE	A	BUSAN
8	7	7	14	0	0	LOTTE	A	BUSAN
8	9	9	10	0	0	LG	A	JAMSIL
8	10	3	9	0	0	LG	A	JAMSIL
8	11	3	4	0	0	LG	A	JAMSIL
8	13	0	2	0	0	SSG	H	CHANGWON
8	15	5	10	0	0	SSG	H	CHANGWON
8	16	3	7	0	0	SAMSUNG	H	CHANGWON
8	17	4	5	0	0	SAMSUNG	H	CHANGWON
8	18	3	5	0	0	SAMSUNG	H	CHANGWON
8	20	2	3	0	0	HANHWA	A	TAEJEON
8	21	8	2	1	0	HANHWA	A	TAEJEON
8	23	17	4	1	0	HANHWA	A	TAEJEON
8	24	0	2	0	0	KIA	H	CHANGWON
8	25	8	2	1	0	KIA	H	CHANGWON
8	27	7	13	0	0	KIA	H	CHANGWON
8	28	1	8	0	0	DOOSAN	H	CHANGWON
8	29	10	2	1	0	DOOSAN	H	CHANGWON
8	31	2	7	0	0	DOOSAN	H	CHANGWON
9	1	8	2	1	0	SSG	A	INCHEON
9	3	11	5	1	0	KIWOOM	H	CHANGWON
9	4	13	6	1	0	KIWOOM	H	CHANGWON
9	5	0	0	0	0	KIWOOM	H	CHANGWON
9	6	0	0	0	0	KT	H	CHANGWON
9	7	0	0	0	0	SAMSUNG	A	DAEGU
9	8	0	0	0	0	SAMSUNG	A	DAEGU
9	10	0	0	0	0	KT	A	SUWON
9	11	0	0	0	0	KT	A	SUWON
9	12	0	0	0	0	KT	A	SUWON
9	13	0	0	0	0	DOOSAN	A	JAMSIL
9	14	0	0	0	0	LG	H	CHANGWON
9	15	0	0	0	0	LG	H	CHANGWON
9	17	0	0	0	0	HANHWA	H	CHANGWON
9	18	0	0	0	0	HANHWA	H	CHANGWON
9	19	0	0	0	0	HANHWA	H	CHANGWON
9	20	0	0	0	0	LOTTE	H	CHANGWON
9	21	0	0	0	0	KIA	A	KWANGJU
9	25	0	0	0	0	SSG	H	CHANGWON
9	26	0	0	0	0	SSG	H	CHANGWON
9	27	0	0	0	0	LOTTE	A	BUSAN
9	28	0	0	0	0	DOOSAN	H	CHANGWON