년,분기,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대
2017,1,607714,380521,664999,545809,430669,811411,543145,674464,819034,422998,387801,518026,2515935,588579,586228,739043,443792,379047,279982,64086,73362,215457,623159,415217,413680,262826,751345
2017,2,648381,498494,880987,569219,455264,887355,569774,756162,904753,456308,436292,569621,2481854,626179,624476,750032,467135,428797,370252,77307,151366,239607,657972,440563,428620,285546,1169477
2017,3,599161,386702,617902,521701,408371,803299,510530,709578,778478,413845,392285,503741,2366061,569226,562380,695303,434308,374973,299402,70349,169547,214416,606325,389848,395043,261564,756540
2017,4,615535,470720,788028,538387,425867,853360,528598,715933,768938,424740,396618,545868,2312243,580121,585512,711052,443473,396539,329619,72463,101365,224061,621694,416279,405511,274758,1026697
2018,1,587378,381186,610349,518193,389137,744588,494363,654319,716512,403703,358241,477837,2410004,552714,518651,689908,399101,352187,268767,63378,50103,206694,560295,389618,373773,244150,664272
2018,2,656102,499644,875740,570553,450129,865886,557397,755437,845242,460979,417637,569761,2508074,643721,604532,747295,460709,421072,361626,76754,157967,243697,635847,457083,420341,289934,1154100
2018,3,608650,381545,607544,512355,399804,796023,491194,689331,744633,407791,369368,493967,2401444,585410,532751,672940,432270,364723,286876,65504,145087,218629,570765,401948,394248,264596,714486
2018,4,633086,461503,790804,537587,425765,853452,526153,716155,764311,425041,390386,544042,2371672,609645,564910,684962,435904,394483,324769,71045,107000,229701,595088,427892,400500,280540,1015745
2019,1,609765,360002,603678,523246,397676,753520,511579,668158,723096,407431,368340,497759,2508329,592133,525556,684765,414011,357047,262457,65354,49886,214759,567273,406969,395997,265421,672662
2019,2,669426,634683,852556,562024,451755,861793,552949,762722,859881,456351,424474,553495,2542525,664157,608461,751184,475430,416328,355105,81088,153196,260068,637860,458523,446324,336368,1143489
2019,3,639259,626199,609465,525019,408322,805585,520569,706857,771245,416493,382334,479990,2471689,603076,544029,700338,450073,368961,284261,70582,135276,242152,582264,414053,413767,308856,696615
2019,4,657582,710544,771814,537327,421715,843084,534042,719605,760039,444485,400606,497687,2345191,616992,576559,714645,457938,391461,321366,75723,79310,255771,613520,439551,431554,335342,1009691
2020,1,572528,548245,541334,478305,367656,681857,477740,614965,647833,407246,349342,412437,2172272,543726,493017,647869,400188,327482,245985,62932,50000,222066,532749,379740,377234,282764,607830
2020,2,318518,323082,295979,286217,218818,354505,277258,363112,368368,242279,206727,256357,1040454,308621,270586,357000,215146,168941,119902,35816,30871,121925,277101,188210,211038,149511,296610
2020,3,474005,454715,432467,384795,309661,533856,387967,533363,517683,324118,288649,362965,1633473,455628,405178,533019,333841,264054,210817,52833,50926,184485,419651,293237,306511,232825,448240
2020,4,496915,476228,500090,397148,318826,549092,397910,548320,527739,333952,295311,383966,1620505,462716,425621,543210,352079,281112,236156,54277,54366,193385,434510,307892,320193,253167,553206
2021,1,418481,411637,402667,356508,279006,465115,359102,473243,454169,297887,258262,326348,1487923,421967,377582,507095,320615,242213,183494,44862,40813,167475,381301,272834,290767,212459,394598
2021,2,522933,515850,562809,417248,342749,571741,415073,588043,567784,348357,318843,404625,1707519,508531,456145,597169,378703,297564,269960,60363,83337,208078,464312,330295,359955,271326,640521
2021,3,485961,472500,448376,382138,310935,525945,382290,545141,508595,330957,294659,356345,1569475,483840,427056,558855,363416,266596,226921,54827,69865,191326,425655,304212,352544,246450,473216
2021,4,515456,541277,578789,405728,329636,563831,406472,572132,566488,352866,331229,417770,1654354,495223,455945,568120,380985,287032,255887,58766,89417,210383,461638,328654,378499,275311,598458
2022,1,474295,457440,461114,387830,304862,512192,386426,524452,510185,331943,299780,386307,1622115,472932,421096,543439,362332,263481,212242,50854,47392,192747,422418,307722,350062,249133,469967
2022,2,542012,609597,705127,431918,347545,602227,448845,602898,605163,363150,337910,442845,1747313,534480,495465,598929,406464,311461,285787,62786,135525,227931,493937,353803,405315,287845,920893
2022,3,545466,511670,486225,427936,332413,612937,438881,589439,585273,361709,338177,418258,1852349,528602,469526,596758,403113,299940,251263,58606,139364,223951,489364,344799,396971,274448,561027
2022,4,564480,598262,639417,441166,348338,649200,471275,607044,593481,380435,357155,446492,1831556,549211,507141,622829,415299,320430,287541,61525,132440,234229,524393,362797,415451,300405,851115
2023,1,546700,502631,491717,434845,329967,598054,481358,574828,554018,369758,341146,420987,1948612,542348,473313,617731,422974,304143,243623,54125,57886,221110,492428,345628,396205,278934,546947
2023,2,606608,647515,699860,470526,370701,694424,530261,658936,636290,410180,393963,505112,1994321,610748,547616,675601,467867,353422,318974,67722,178766,255833,550072,387368,434450,318658,962842
2023,3,568328,528986,494971,429685,327650,630200,490497,594259,565889,374881,348799,442274,1935362,562595,485538,623110,433138,315046,261668,57500,170616,226224,492960,339217,389607,286027,576906
2023,4,581482,614040,622956,433637,341672,651960,518805,615841,607245,388341,358223,482165,1920638,575240,515467,639456,437796,334508,294921,60144,128242,232659,512819,361404,407794,308122,844775